Address,City,Postal Code,Fine Amount
7 West 92nd Street,New York,10025,584.7760000000044
144 East 36th Street,New York,10016,12452.419000000005
296 West 10th Street,New York,10014,18680.939999999995
515 West 23rd Street,New York,10011,24303.982
324 Pearl Street,New York,10038,17138.198000000008
690 Washington Street,New York,10014,26203.164000000008
424 East 57th Street,New York,10022,18029.030000000002
13-34 Estates Lane (HOA),Queens,11360,15972.8
105 Madison Avenue,New York,10016,187478.72999999998
220 East 106th Street,New York,10029,16523.942
40 Charlton Street,New York,10014,19456.13000000001
7 Gramercy Park,New York,10003,3155.7000000000016
447-453 West 18 Street,New York,10011,52876.73499999999
333-353 West 56th Street,New York,10019,146400.62800000006
22 North 6th Street,Brooklyn,11249,201930.76400000005
334 West 87th Street,New York,10024,5551.084000000006
21-05 33rd Street,Astoria,11105,51819.20700000002
176 Broadway,New York,10038,138874.38399999996
630 First Avenue,New York,10016,373579.069
5-33 48th Avenue,Queens,11101,95592.987
165-215 Park Row,New York,10038,139306.39999999994
211 West 71st Street,New York,10023,43784.098000000005
230 Central Park West,New York,10024,103107.64
114 East 90th Street,New York,10128,32918.37300000001
151 Wooster Street,New York,10012,30203.131
432 West 52nd Street,New York,10019,48144.65900000001
57 West 38th Street,New York,10018,31249.737999999998
25-21 43rd Avenue,Queens,11101,98406.853
416 East 80th Street,New York,10075,106676.529
93 Worth Street,New York,10013,119095.84999999998
352 West 11th Street,New York,10014,62815.17999999999
231 West 21st Street,New York,10011,21060.780000000002
33 East 22nd Street,New York,10010,14311.535000000002
110 West 94th Street,New York,10025,19880.91
77 West 55th Street,New York,10019,13909.200000000024
220 East 54th Street,New York,10022,64798.37999999999
130 Bradhurst Avenue,New York,10039,163521.406
579 West 215th Street,New York,10034,37085.169999999984
2400 Johnson Avenue,Bronx,10463,36448
3750 Hudson Manor Terrace,Bronx,10463,122294.29600000003
3850 Hudson Manor Terrace,Bronx,10463,137244.609
85 Livingston Street,Brooklyn,11201,122748.55600000001
46-20 11th Street,Queens,11101,64436.312000000005
24-16 Queens Plaza South,Queens,11101,107582.034
25-40 Shore Boulevard,Queens,11102,438560.828
500 Grand Street,New York,10002,188296.19700000004
15 Jones Street,New York,10014,39234.597
634 Washington Street,New York,10014,47050.08
352 West 117th Street,New York,10026,31782.923999999995
51 Jay Street,Brooklyn,11201,132194.28300000002
45 Plaza Street West,Brooklyn,11217,33808.20000000001
45-16 83rd Street,Queens,11373,215939.66
1655 Flatbush Avenue,Brooklyn,11210,194001.8500000002
252 West 85th Street,New York,10024,52275.879
1701 Albemarle Road,Brooklyn,11226,79756.79999999999
40 West 72 Street,New York,10023,151253.505
61-15 - 61-35 98th Street,Queens,11374,864460.8
5900 Arlington Avenue,Bronx,10471,139797.64399999994
5700 Arlington Avenue,Bronx,10471,187214.41500000007
5800 Arlington Avenue,Bronx,10471,202226.30099999998
3671 Hudson Manor Terrace,Bronx,10463,44316.479999999974
455 Central Park West,New York,10025,63172.022
62-54 97th Place,Queens,11374,104780.76400000002
165 East 32nd Street,New York,11226,95863.46600000001
148 West 23rd Street,New York,10011,117183
127-131 West 96th Street,New York,10025,67204.417
330 Wythe Avenue,Brooklyn,11249,150083.685
811 Cortelyou Road,Brooklyn,11218,84393.2
159 West 25th Street,New York,10001,110062.843
5 Court Square,Queens,11101,60007.07599999998
21 West 46 Street,New York,10036,67365.217
46 West 83rd Street,New York,10024,28034.341
28-30 West 38th Street,New York,10018,39321.63
