Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
269 Malden Place,Staten Island,10306,6700,Not Available,22824.7,0,6.6,0,Not Available,40.562264,-74.116767
578 Tysens Lane,Staten Island,10306,6700,Not Available,21937.8,0,6.3,0,Not Available,40.563372,-74.115466
562 Tysens Lane,Staten Island,10306,6700,Not Available,28460.2,0,8.2,0,Not Available,40.563561,-74.115783
2842 Hylen Boulevard,Staten Island,10306,6700,Not Available,27362.7,0,7.9,0,Not Available,,
449 Falcon Ave,Staten Island,10306,6700,Not Available,24418.8,0,7,0,Not Available,40.561854,-74.115089
604 Tysens Lane,Staten Island,10306,6700,Not Available,29443.4,0,8.5,0,Not Available,40.562961,-74.114781
246 Malden Place,Staten Island,10306,6700,Not Available,26959.1,0,7.8,0,Not Available,40.562456,-74.117123
13 Primrose Place,Staten Island,10306,6700,Not Available,24057.8,0,6.9,0,Not Available,40.562812,-74.115468
251 Malden Place,Staten Island,10306,6700,Not Available,38825.9,0,11.2,0,Not Available,40.562442,-74.117062
285 Malden Place,Staten Island,10306,6700,Not Available,20088.8,0,5.8,0,Not Available,40.561941,-74.115931
12 Primrose Place,Staten Island,10306,6700,Not Available,20315.8,0,5.9,0,Not Available,40.562817,-74.115432
429 Falcon Avenue,Staten Island,10306,6700,Not Available,27785.6,0,8,0,Not Available,40.562362,-74.114614
38 Primrose Place,Staten Island,10306,6700,Not Available,32193,0,9.3,0,Not Available,40.562347,-74.115903
473 Flacon Avenue,Staten Island,10306,6700,Not Available,24855,0,7.2,0,Not Available,,
292 Malden Place,Staten Island,10306,6700,Not Available,27701.6,0,8,0,Not Available,40.561785,-74.115704
262 Malden Place,Staten Island,10306,6700,Not Available,27802,0,8,0,Not Available,40.56227,-74.116813
2850 HYLAN BLVD,Staten Island,10306,3500,Not Available,6567,0,1.9,0,Not Available,40.563453,-74.116513
36-20 34th Street,Long Island City,11106,28820,5744.93539,220918.7,0,94.2,0,259,40.754949,-73.927779
1360 Plimpton Avenue,Bronx,10452,36667,23518.62819,179454.7,0,176.7,0,7191.9,40.841647,-73.923608
1600 55th St,Brooklyn,11204,38323,23374.99762,222070,0,188.2,0,1659.3,40.627449,-73.988648
40-36 27 Street,Queens,11101,31383,13009.981,330240.7,0,164.4,0,1974.9,40.752572,-73.937649
330 West 55th Street,New York,10019,39003,16030.33218,123247.4,0,120.7,0,Not Available,40.765848,-73.984863
200 Lafayette Street,New York,10012,121964,18276.31956,1151315.4,0,429.2,0,997.5,40.721323,-73.997987
440 East 81st Street,New York,10028,56000,36772.35642,220289,0,258.9,0,1495.4,40.773161,-73.950573
124 West 114th Street,New York,10026,27141,1673.055209,152770.6,0,53,0,Not Available,40.801573,-73.952683
107 West 109th Street,New York,10025,31026,31577.14991,206486.2,0,227.3,0,Not Available,40.801412,-73.962002
35. E. 125th St.,New York,10035,92969,42961.4765,1544885.1,0,673.8,0,837.4,,
2340 Beaumont Ave,Bronx,10458,51600,40758.42428,240417,0,285.8,0,4609.2,40.853233,-73.88491
580 Sutter Ave,Brooklyn,11207,153588,131171.0031,1375503.6,0,1093.5,0,Not Available,40.669023,-73.897531
580 Sutter Avenue,Brooklyn,11207,51196,46045.00319,511074.6,0,392,0,Not Available,40.669023,-73.897531
331 Alabama Avenue,Brooklyn,11207,51196,41660.00113,461427.9,0,354.4,0,Not Available,40.668134,-73.897802
585 Blake Avenue,Brooklyn,11207,51196,43465.99879,403001,0,347.1,0,Not Available,40.667475,-73.897309
12 west 48th street,New York,10036,30845,Not Available,183351.5,0,52.9,0,Not Available,40.757525,-73.978704
111 Broadway,New York,10006,450000,Not Available,3650423.6,0,1686.7,0,6532.7,40.708486,-74.011113
115  Broadway,New York,10006,400000,1506.977223,3936749.7,0,1728.6,0,Not Available,40.708631,-74.010997
34 EAST 51 STREET,New York,10022,82576,25828.0268,1211198.5,0,486.6,0,789.2,40.758303,-73.974722
640 8th Ave,New York,10036,1093827,294068.604,15168650.2,0,5974.8,0,Not Available,40.756664,-73.990193
55 Water St,New York,10041,3412984,Not Available,51776619.1,0,19928.5,0,69857.6,40.703597,-74.009781
545 8th Avenue,New York,10018,164478,258.508036,1122059.7,0,1014.2,0,3103.7,40.754296,-73.991944
410 Park Avenue,New York,10022,249417,Not Available,1943714.9,0,770.7,0,2307.2,40.760057,-73.971895
99 Park Avenue,New York,10016,573483,8150.85786,5430554.5,0,3343,0,Not Available,40.750745,-73.978666
1250 Broadway,New York,10001,706740,9140.828,6607649.3,0,3836,0,9478.2,40.747571,-73.988018
1455 Grand Concourse,Bronx,10452,291840,465941.8639,1555991,0,2923.7,0,Not Available,40.840272,-73.912941
875 3rd Avenue,New York,10022,623129,5166.294006,7846477.9,0,2940.7,0,Not Available,40.757602,-73.969452
633 Third Ave,New York,10016,916603,10008.98385,11021041.3,0,5839.2,0,14629.8,40.74991,-73.975061
80 Broad Street,New York,10004,345465,Not Available,2782505.1,0,1414.2,0,4381.4,40.704322,-74.011581
298 Mulberry Street,New York,10012,62457,36618.49089,953064.5,0,469.4,0,3162,40.725243,-73.994754
500 W 21st Street,New York,10011,101951,36522.14033,986267.5,0,478.5,0,1379.9,40.74643,-74.005193
155 West 70th Street,New York,10023,204762,77894.49019,1325639.1,0,796.1,0,Not Available,40.776824,-73.981431
1600 Broadway,New York,10019,197413,43124.80614,3853834.5,0,1340.7,0,8346.8,40.76035,-73.984713
712 7th Avenue,New York,10036,268044,26410.44696,4950158.3,0,2539.6,0,17170.6,40.759527,-73.984406
148 Lafayette Street,New York,10013,135684,13361.30597,1645158.4,0,1433.8,0,986.8,40.719526,-73.999553
25 West 14th Street,New York,10011,28579,25602.31538,957584.5,0,412.2,0,881.3,40.736447,-73.994649
217-219 West Broadway,New York,10013,29363,5731.937391,353921,0,132.5,0,483.4,40.719133,-74.006378
152 Madison Ave,New York,10016,98000,42180.02648,633735.2,0,406.8,0,Not Available,40.746574,-73.983839
49 West 38th Street,New York,10018,63412,105.3636366,458825.2,0,451.7,0,933.9,40.751635,-73.984307
567 Fort Washington Avenue,New York,10033,59976,974.3083782,182425.6,0,404.8,0,3316.7,40.854157,-73.9372
500 Kappock Street,Bronx,10463,64142,34722.03172,250409.8,0,256.7,0,1689.6,40.877239,-73.91785
111-23 76 Rd,Queens,11375,52182,47283.00105,160859.1,0,297.5,0,3064,40.716307,-73.836083
215 W 40th St,New York,10018,67823,6854.623284,401582.2,0,344.6,0,Not Available,40.755056,-73.988594
60 W 38th Street,New York,10018,24108,Not Available,246135.6,0,153.2,0,749.5,40.751732,-73.984574
2537 Broadway,New York,10025,39500,140910.5121,3485904.3,0,1754,0,Not Available,40.793842,-73.972393
120 East 23rd Street,New York,10010,220511,27.06684609,4670151.5,0,1696.8,0,Not Available,40.739773,-73.985389
136 Madison,New York,10016,237000,0.70588224,2464030.9,0,982.2,0,1000.1,,
304 East 45th Street,New York,10017,292024,54.138258,3677144.9,0,1377.8,0,1317.4,40.75157,-73.970393
655 Madison Avenue,New York,10065,197159,Not Available,2610463.1,0,1184.7,0,2529.9,40.764193,-73.970644
57 West 57th Street,New York,10019,132761,33953.31578,2318595.3,0,1152.8,0,4391.1,40.763719,-73.975741
1140 Broadway,New York,10016,134064,3216.806561,1112397.6,0,622.2,0,1144.6,40.743907,-73.988979
16 West 61st Street,New York,10023,76374,45.42156915,1491270.4,0,681.7,0,509.8,40.769921,-73.982559
104 East 25th Street,New York,10010,130000,15.70018965,1701841,0,633.1,0,2887.5,40.741282,-73.984999
305 East 47th Street,New York,10017,140525,42037.67118,1869128.8,0,762.4,0,1972.6,40.752862,-73.969548
79 Madison Avenue,New York,10016,237067,584.3377147,2253333.7,0,916.2,0,Not Available,40.744096,-73.985619
1201 Broadway,New York,10001,110000,44.7774202,441859.1,0,359,0,183.3,40.745869,-73.988635
38 East 32nd Street,New York,10016,47182,23247.48576,883632.9,0,378.4,0,922,40.746297,-73.983489
549 West 180th Street,New York,10033,36905,14551.9411,202187.6,0,135.6,0,Not Available,40.848223,-73.933266
28 West 23rd Street,New York,10010,353202,403.0908988,5795507.2,0,2574.1,0,Not Available,40.742005,-73.990675
28 West 23rd Street,New York,10010,176601,187.6121243,2897753.6,0,1287,0,Not Available,40.742005,-73.990675
28 West 23rd Street,New York,10010,176601,187.6121243,2897753.6,0,1287,0,Not Available,40.742005,-73.990675
221 East 50th Street,New York City,10022,35840,26233.1144,145379.2,0,181.3,0,864,40.755555,-73.970099
340 Madison Avenue,New York,10173,587681,4177.028882,6736326.7,0,2237.8,0,5174.6,40.753869,-73.978513
1330 Avenue of the Americas,New York,10019,276951,Not Available,5903365.6,0,3891,0,9518.1,40.762103,-73.978803
61 Broadway,New York,10006,680378.8,Not Available,6099619.4,0,2466.4,0,3970,40.706995,-74.012335
620 Avenue of the Americas,New York,10011,513071,134.6458287,8226522.9,0,2862.8,0,7304.5,40.740081,-73.994843
75 Rockeller Plaza,New York,11109,392144,28226.6773,6705868.7,0,2084.3,0,6628,,
237 Park Avenue,New York,10017,676406,7032.19923,18193968.6,0,5492.4,0,11039.1,40.753904,-73.975514
530 5th Ave,New York,10036,357724,Not Available,5617766.7,0,2847.2,0,6901.9,40.754879,-73.979877
230 Park Ave,New York,10169,1181886,23079.32734,10733817,0,6538.9,0,15626.7,40.754508,-73.975951
825 8th Avenue,New York,10019,1489606,13711.70646,31366014.7,0,10963.4,0,21235,40.762074,-73.986275
32 Old Slip,New York,10022,1069945,15715.31717,17787479.4,0,6324.9,0,10188.9,40.703573,-74.008036
601 West 26 St,New York,10001,1846685,511082.3476,33947623.6,0,12506.9,0,15957.1,40.750934,-74.005955
470 Vanderbilt Avenue,Brooklyn,11238,598449,89977.0842,9447601.8,0,3203.1,0,8421.8,40.683049,-73.967824
1285 Avenue of the Americas,New York,10019,971197,29971.01772,27718464.7,0,12048.2,0,31037.4,40.760753,-73.979818
37-18 Northern Boulevard,Long Island City,11101,290803,3324.653909,4218739.5,0,1838.3,0,5267.9,40.752096,-73.925887
47 Hall Street,Brooklyn,11205,584476,8523.76113,3274210.7,0,989.7,0,1920.6,40.696435,-73.966498
620 EIGHTH AVENUE,NEW YORK,10018,1412475,498260.0124,18561241.3,0,9840.2,0,16213.7,40.756039,-73.990651
2839 Decatur Avenue,Bronx,10458,40590,2064.034782,159965.3,0,237.2,0,3624.9,40.867401,-73.885239
590 E 83 ST,New York,10028,82374,31440.18878,1538729.2,0,610.8,0,559.5,40.772962,-73.946425
200 Penn Avenue,Staten Island,10306,43068,15822.99954,139081.3,0,124.2,0,772.2,40.563839,-74.117835
181 Lenox Road,Brooklyn,11226,62841,41778.00019,299608.4,0,308.3,0,4498.8,40.65393,-73.953758
7401 Ridge Boulevard,Brooklyn,11209,57340,39310.00014,239072.4,0,277.8,0,3048.7,40.632685,-74.030224
41-65 Forley Street,Elmhurst,11373,57340,45317.99816,294074.2,0,325.5,0,4501,40.746007,-73.877036
59 Livingston Street,Brooklyn,11201,63224,43127.00195,198654.9,0,286.4,0,2173.1,40.691814,-73.992186
41-42 73RD STREET,WOODSIDE,11377,76200,60959.9984,313892.8,0,414.3,0,5433.8,40.744153,-73.891836
"31-30/50/70 138 Street,",Flushing,11375,160936,8011.709068,793085.2,0,1299.1,0,8375.2,,
102-25/35/45/55 67 Road,Queens,11375,127416,95927.00049,458152.2,0,641.7,0,7232.8,,
66-01 110 Street,Queens,11375,105201,4771.999434,521868.4,0,978.6,0,6140.8,40.730896,-73.845947
92-31 57 Avenue,Queens,11373,100308,48326.00218,333519.7,0,352.9,0,4360.1,40.735615,-73.869341
18-22 21 Avenue,Queens,11105,124710,139868.6224,478936.9,0,905.8,0,6221.5,40.783324,-73.916081
"36 Gramercy Park East,",Manhattan,10003,63744,1632.686266,485883.1,0,421,0,1572.5,40.737835,-73.985032
"424 Cathedral Parkway,",Manhattan,10025,362400,75406.16881,3288618.9,0,1349.1,0,Not Available,40.802169,-73.961977
2504 Bronx Park East,Bronx,10467,87120,7599.438224,333167.3,0,506.9,0,8723.8,40.863614,-73.870394
34-25 150 Place,Queens,11354,65850,3083.363646,303772.4,0,559.6,0,Not Available,40.767061,-73.814304
40 Thayer Street,Manhattan,10040,51070,55047.00083,241911.1,0,362.2,0,6695.1,40.862563,-73.926509
220 Cabrini Boulevard,Manhattan,10033,57008,942.115008,223814.3,0,432.7,0,2699,40.854901,-73.93849
"370 Manhattan Avenue,",Manhattan,10026,69000,46793.85901,293425.2,0,333.2,0,3957.3,40.80469,-73.957059
656 West 162 Street,Manhattan,10032,53034,1055.711194,209246.4,0,423.9,0,4290.1,40.838118,-73.944837
601 West 160 Street,Manhattan,10032,100474,2558.550732,313025.8,0,718,0,Not Available,40.83604,-73.943751
734 Ocean Avenue,Brooklyn,11226,66140,51068.99847,222525.7,0,335.4,0,Not Available,40.644622,-73.959984
"750 Ocean Avenue,",Brooklyn,11226,60930,57022.00283,264599.5,0,379.2,0,7507.4,40.644328,-73.95993
111-33 66 Avenue,"Forest Hills,",11375,62043,Not Available,328723.8,0,527.5,0,Not Available,40.731615,-73.844171
111-18 66 Avenue,Queens,11375,70107,Not Available,321455,0,536.8,0,Not Available,40.731498,-73.844485
144-70 41st Avenue,Flushing,11355,94800,73814.6053,338916.5,0,489.8,0,Not Available,40.76069,-73.82095
1220 Ocean Avenue,Brooklyn,11230,55200,37753.00223,209328.6,0,260.9,0,4317.8,40.632292,-73.957642
1220 Ocean Avenue,Brooklyn,11230,94200,55779.00223,434197.6,0,421.5,0,Not Available,40.632292,-73.957642
1304 New York Avenue,Brooklyn,11203,65602,44003.00037,278647,0,314.1,0,4850,40.640979,-73.945623
1700 Albemarle Road,Brooklyn,11226,106000,80879.99854,350829.1,0,530.8,0,Not Available,40.646912,-73.963424
201 Crown Street,Brooklyn,11225,59148,38429.99964,225402.5,0,269.1,0,1072.6,40.666468,-73.953962
450 East 34 Street,Brooklyn,11203,60435,37234.00047,347141.6,0,297.9,0,3733.5,40.645884,-73.945169
532 Lefferts Avenue,Brooklyn,11225,67936,48851.99922,534994.9,0,413.8,0,5019.3,40.662791,-73.943594
77 Linden Boulevard,Brooklyn,11226,71710,61977.00279,353768.5,0,431.2,0,5862.5,40.65235,-73.95551
780 Saint Marks Avenue,Brooklyn,11213,98904,61033.9975,309652.5,0,413.5,0,2057.5,40.675023,-73.946814
478 Central Park West,Manhattan,10025,65314,31831.91752,315777.8,0,260.2,0,1827,40.799574,-73.959406
1702 Dahill Road,Brooklyn,11223,36000,37522.99714,123375.2,0,234.9,0,3484.7,40.606185,-73.973562
2801 Beverley Road,Brooklyn,11226,51000,46960.99935,186699.9,0,303.3,0,2957,40.645033,-73.950726
8302 6 Avenue,Brooklyn,11209,31080,29832.00121,125424.7,0,194.6,0,3116.6,40.622092,-74.02273
155 East 51 Street,Brooklyn,11203,38169,34035.99706,142777,0,222,0,4560.9,40.658236,-73.93005
112 Marine Avenue,Brooklyn,11209,36000,24292.00341,111912.5,0,161.3,0,1367.6,40.617645,-74.03629
62-05 Woodhaven Boulevard,Queens,11374,37000,30322.00137,109649.4,0,192.7,0,Not Available,40.726836,-73.870512
445 East 5 Street,Brooklyn,11218,41832,41786.99823,197545,0,278.9,0,Not Available,40.641566,-73.975155
47-55 39 Place,Queens,11104,36330,1207.532269,150796.2,0,395.7,0,2022.7,40.740922,-73.925773
"1830 Brooklyn Avenue,",Brooklyn,11210,38140,26494.99995,184023.4,0,193.8,0,2880.9,40.628417,-73.941382
21-09 19 Street,Queens,11105,33483,24964.6296,163278.7,0,179.7,0,Not Available,40.78291,-73.915941
368 Eastern Parkway,Brookyn,11225,38471,28971.9976,146596.9,0,196.2,0,Not Available,40.670378,-73.956598
157 Daniel Low Terrace,Staten Island,10301,27200,21979.00073,115709.1,0,150.1,0,2683.3,40.64078,-74.080327
659 Ocean Avenue,Brooklyn,11226,47448,30330.00254,154219.3,0,205.6,0,3207.6,40.646656,-73.960346
249 East 37 Street,Brooklyn,11203,44928,40741.0024,341636,0,314.9,0,3298.6,40.650845,-73.942786
1487 Nostrand Avenue,Brooklyn,11226,42288,39325.99746,176902,0,259.9,0,2638.4,40.650042,-73.949483
554 East 26 Street,Brooklyn,11210,43900,28379.00053,153322.6,0,195,0,3934,40.63695,-73.95267
626 East 35 Street,Brooklyn,11203,30600,23801.99976,100018.5,0,155.3,0,Not Available,40.639757,-73.943588
854 Ocean Avenue,Brooklyn,11226,42030,30079.00112,147354.7,0,202.3,0,2232.9,40.641935,-73.959474
520 West 183 Street,Manhattan,10033,47658,34258.10496,183828.7,0,235,0,3086.2,40.849622,-73.930777
219 Audubon Avenue,Manhattan,10033,47612,29988.06412,87273.7,0,184.5,0,2826.5,40.845608,-73.934609
227 Audubon Avenue,Manhattan,10033,48168,33914.07922,87273.7,0,205.3,0,2826.5,40.845784,-73.934483
69 Nagle Avenue,Manhattan,10040,46110,31202.93681,200746.6,0,223.6,0,4196.9,40.860133,-73.928702
111-01 66 Road etc.,Queens,11375,33831,Not Available,129613.1,0,192,0,Not Available,40.731035,-73.843245
1127 WILLOUGHBY AVENUE,Brooklyn,11237,31582,12573.00024,264975.2,0,143.2,0,530.1,40.701696,-73.92533
400 Ocean Avenue,Brooklyn,11226,40327,30039.00037,216346.8,0,222,0,634.1,40.65328,-73.961625
640 West 42nd Street,New York,10036,814289,522158.6671,5965137.8,0,4524.8,0,Not Available,40.761487,-73.999917
147-28 90 Avenue,Queens,11435,61000,18109.99958,248020.7,0,167.7,0,5244.6,40.703037,-73.808121
"530 Briar Place,",Queens,11691,44809,45118.38882,191478,0,294.9,0,Not Available,40.599009,-73.758337
"841 7 Avenue,",Manhattan,10019,79309,45751.4794,591082.4,0,413.5,0,Not Available,40.763684,-73.981355
137-60 45 Avenue,Queens,11355,260900,163303.3481,1656182.9,0,1345.1,0,26237.9,40.750962,-73.822806
23-11 cornaga avenue,Queens,11691,78600,57534.70769,405853.9,0,422.7,0,29487.1,40.602223,-73.758048
148-28 88 avenue,queens,11435,112816,96325.00277,524607.1,0,663,0,Not Available,40.705254,-73.807736
40-45 elbertson street,queens,11373,203000,61561.9957,882822.2,0,581.6,0,23660.8,40.747477,-73.878506
147-25 88 Avenue,Queens,11435,65916,63182.00298,463230.9,0,469.2,0,8209,40.70496,-73.808887
89-25 elmhurst avenue,queens,11373,86180,60864.99839,400738.8,0,438.9,0,9527.8,40.747621,-73.876737
40-51 denman street,queens,11373,77724,63361.99733,416811.7,0,456.8,0,Not Available,40.747327,-73.876352
41-11 elbertson street,queens,11373,144000,88015.99554,569356.6,0,631.7,0,14990.2,40.746696,-73.876753
88-02 37 avenue,queens,11372,76844,64421.99727,446268.7,0,470.9,0,Not Available,40.750343,-73.878576
37-06 80 Street,Queens,11372,91000,74611.99753,662242.7,0,587.3,0,Not Available,40.749231,-73.886121
83-31 116th street,Queens,11418,140196,87976.00033,616152.6,0,645,0,13565.2,40.705638,-73.836033
148-45 89th Avenue,Queens,11435,82284,71688.99743,378965.4,0,490.1,0,9732.5,40.704249,-73.807241
439 Beach 22nd Street,Queens,11691,85814,81812.20394,436193,0,560.4,0,9955.8,40.598986,-73.756702
90-05 153rd Street,Queens,11432,57144,36922.99839,265312.8,0,272.6,0,6916.5,40.704069,-73.803003
62-29 84th Street,Queens,11379,292651,189058.996,1133661.7,0,1331.2,0,23583.2,40.724571,-73.872202
55-30 98 Place,Queens,11368,149548,98634.9984,773745.5,0,747.1,0,12809.6,40.738714,-73.861746
99-04 57th Avenue,Queens,11368,156960,90249.00246,705422.5,0,682.8,0,12069.8,40.738423,-73.859873
62-42 Woodhaven Blvd.,Queens,11374,319025,183654.9985,1258852.9,0,1338.6,0,28996.3,40.725776,-73.870024
169-04 88th Avenue,Queens,11432,40344,48688.00242,243783.9,0,328.9,0,8005.7,40.710053,-73.792435
55-25 98 Place,Queens,11368,225240,139180.9972,997457.7,0,1027,0,7496.9,40.738722,-73.861724
4555 Henry Hudson Parkway West,Bronx,10471,196162,116901.5218,948434,0,894.5,0,8139.5,40.892797,-73.908499
"5500 Fieldston Road,",Bronx,10471,263206,146256.2607,972657.9,0,1057.4,0,11973.1,40.903245,-73.901058
4601 Henry Hudson Parkway,Bronx,10471,57250,39116.5308,232807.2,0,274.9,0,Not Available,40.893697,-73.908509
3725 Henry Hudson Parkway,Bronx,10463,116424,74601.64176,485921,0,536.4,0,4698.5,40.888621,-73.91053
5355 Henry Hudson Parkway,Bronx,10471,126000,1555.139198,679273.4,0,786.7,0,3274.2,40.900321,-73.906915
221-08 64 Avenue... Various (See Notes),Queens,11364,107988,130471.7631,681963.4,0,889.7,0,8988.7,40.747403,-73.755518
222-01 69 Avenue... Various (See Notes),Queens,11364,120600,147137.0178,616203.9,0,959.3,0,10264.2,40.743807,-73.75295
223-02 65 Avenue,Queens,11364,147700,184828.7538,758731.2,0,1200.6,0,11247.8,40.746751,-73.753651
100-11 67 Road,Queens,11375,137120,82688.002,491280.8,0,580.9,0,5994.3,40.725592,-73.853381
"182-25 Wexford Terrace,",Queens,11432,80550,58876.00143,378058.6,0,421.8,0,4599,40.714659,-73.78078
"73-12 35 Avenue,",Queens,11372,189450,127572.0014,799746.4,0,908.3,0,13247.8,40.750922,-73.892828
"64-11 99 Street,","Queens,",11374,131340,97292.00059,511365.2,0,664.3,0,7834.3,40.730667,-73.856094
9101 Shore Road,Brooklyn,11209,208634,137477.9999,755219.6,0,948.1,0,6138.5,40.621503,-74.040211
7423 Ridge Boulevard,Brooklyn,11209,51000,28542.00054,169004.8,0,200.4,0,1652.4,40.632578,-74.030267
7520 Ridge Boulevard,Brooklyn,11209,37041,20476.00168,118795.9,0,143,0,1592.6,40.631653,-74.030667
91-31 Queens Boulevard,Queens,11373,64465,65957.9994,1640521.8,0,823.5,0,Not Available,40.733321,-73.869803
7901 4th Avenue,Brooklyn,11209,137190,83428.99943,506610.5,0,589.3,0,6541,40.627809,-74.026299
629 Kappock Street,Bronx,10463,130570,71684.56222,419778.4,0,501.8,0,4081.4,40.880145,-73.917398
63-45 Saunders Street,Queens,11374,47730,40468.00333,171021.8,0,264.3,0,3546.8,40.729537,-73.863468
155 East 91 Street,Manhattan,10128,37854,23234.24907,139679.1,0,163.7,0,1060.7,40.782491,-73.952784
41-42 66 Street,Queens,11377,27425,25178.99755,228920.2,0,199.8,0,2592.9,40.743975,-73.898007
1116 Carroll Street,Brooklyn,11225,32350,44165.99635,138590.8,0,274.6,0,6133.4,40.667344,-73.953856
3033 Brighton 13 Street,Brooklyn,11235,33800,31175.00028,107133.7,0,196.5,0,4525.7,40.579295,-73.955998
171 Meserole Street,Brooklyn,11206,33000,21830.4997,86477.5,0,140.9,0,Not Available,40.708178,-73.942286
165 Meserole Street,Brooklyn,11206,33000,21830.4997,76147.8,0,137.9,0,Not Available,40.708156,-73.942521
161 East 90 Street,Manhattan,10128,38117,30594.32222,190908.8,0,217.6,0,1449,40.781792,-73.953066
610 Waring Avenue,Bronx,10467,106050,6487.95965,560164.3,0,1022.8,0,8532.9,40.861391,-73.870243
302 Convent Avenue,New York,10031,59196,1318.318174,181499.8,0,399.8,0,Not Available,40.822848,-73.947552
460 Neptune Avenue,Brooklyn,11224,623800,944578.9553,2575752.7,0,5760.1,0,48671.4,40.579777,-73.970923
440 Neptune Avenue,Brooklyn,11224,623806,113053.9964,2432530.9,0,1302.2,0,96,40.580062,-73.969188
2915 West 5th Street,Brooklyn,11224,491050,Not Available,2212228.5,0,638.1,0,Not Available,40.578926,-73.972101
2766 Sedgwick Avenue,Bronx,10468,45500,1614.76224,195145.9,0,244,0,2694.3,40.871205,-73.902476
71 Jackson Street,New York,10002,44095,48133.97111,528552.8,0,408.1,0,Not Available,40.711397,-73.980623
2010 Ocean Ave,Brooklyn,11230,36500,38528.99949,150822.3,0,248.2,0,3117.3,40.612692,-73.953941
158 Hester Street,New York,10013,55344,41443.29178,897562.7,0,479,0,Not Available,40.717711,-73.996681
19 Dutch Street,New York,10038,438228,122395.0914,3533357.1,0,1669.3,0,13723,40.70976,-74.007174
114-118 East 85th Street,New York,10028,54739,25251.37402,819262.7,0,370.4,0,1926.2,40.779191,-73.957
613 East 16th Street,Brooklyn,11226,40000,29912.99674,129841,0,196.3,0,Not Available,40.635247,-73.962338
51 Stratford Road,Brooklyn,11218,32704,27556.99863,123330.4,0,181.9,0,2074.2,40.647713,-73.969434
140-30 & 140-40 Beech Avenue,Queens,11355,50278,49168.20805,193014,0,316.8,0,6417.3,,
189 East 18th Street,Brooklyn,11226,42488,36205.99811,144347.4,0,233.9,0,2396.7,40.646396,-73.962487
2160 & 2164 Caton Avenue,Brooklyn,11226,71472,64624.00283,278248.6,0,423.5,0,Not Available,,
545 85th Street,Brooklyn,11209,27700,18004.00079,114261.3,0,128.6,0,1551.5,40.621595,-74.024744
"94-05, 94-19 & 95-05 35th Avenue",Queens,11372,100260,66609.99971,397229.5,0,468.4,0,6809.9,,
35 Thayer Street,New York,10040,34040,33967.61203,190928.7,0,235.5,0,Not Available,40.862371,-73.926361
2160 Caton Avenue,Brooklyn,11226,35736,35449.0031,136405.9,0,227.6,0,2713.9,40.652968,-73.958386
2164 Caton Avenue,Brooklyn,11226,35736,29174.99973,141842.7,0,195.9,0,Not Available,40.652971,-73.958281
140-30 Beech Avenue,Queens,11355,25139,47367.69291,108175.3,0,282.8,0,6417.3,40.754635,-73.822984
140-40 Beech Avenue,Queens,11355,25139,1800.51514,84838.7,0,34,0,Not Available,40.75464,-73.822976
94-05 35th Avenue,Queens,11372,33420,27096.00234,160490.2,0,190.2,0,2388.5,40.753002,-73.873371
94-19 35th Avenue,Queens,11372,33420,20540.99933,114930.6,0,142.3,0,2626.4,40.753019,-73.873277
95-05 35th Avenue,Queens,11372,33420,18972.99805,121808.7,0,135.9,0,1795,40.753183,-73.872471
136 West 75th Street,New York,10023,27176,488.141948,122975.8,0,208.8,0,911.1,40.779914,-73.978696
23-23 Borden Avenue,Queens,11101,34000,6183.010448,526759.5,0,273.9,0,Not Available,40.739935,-73.94722
22-15 43rd Avenue,Queens,11101,49255,10289.79884,650989.1,0,242.4,0,364.8,40.749987,-73.944311
158-21 Jewel Avenue,Queens,11365,147166,245.6477293,3291085.6,0,2603.1,0,Not Available,40.732272,-73.809902
458-464 Neptune Avenue,Brooklyn,11224,1738656,1057632.952,7220512,0,7700.4,0,48767.4,40.579782,-73.970866
2105 Walton Avenue,Bronx,10453,51165,42482.25833,221378.7,0,289.5,0,5517.9,40.854495,-73.905534
80 Lafayette Street,New York,10013,316464,160264.7885,1992347,0,1657.4,0,14375.2,40.717064,-74.0018
3512 Oxford Avenue,Bronx,10463,43000,32122.31764,173424.3,0,220.6,0,2751,40.885718,-73.908943
580 Broadway,New York,10012,127597,30.05313248,1161333.9,0,603.2,0,4941.6,40.724658,-73.997413
1600 Saint Nicholas Avenue,New York,10040,58420,44649.93093,405839.7,0,354.2,0,2743.1,40.855001,-73.929565
260 East 188th Street,Bronx,10458,151933,1303.370304,1376888.8,0,404.1,0,62.8,40.860915,-73.896118
455 Jefferson Street,Brooklyn,11237,105289,2542.000143,339127.7,0,111.3,0,170.6,40.708838,-73.921751
36 East 36th Street,New York,10016,121072,47830.61697,681018.6,0,450.5,0,Not Available,40.74886,-73.981601
264 E Broadway,New York,10002,1054290,578019.3107,3745326.6,0,4150.5,0,Not Available,40.714483,-73.98516
76-01 37th Ave.,Jackson Heights,11372,13230,Not Available,Not Available,Not Available,Not Available,Not Available,1511.4,40.749185,-73.889767
