Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
"650, 660, 690, 700 Gates Avenue",Brooklyn,112211760,162200,162775.7783,1134779.8,0,1150.3,0,8364,,
143 Avenue O,Brooklyn,11204,20301,Not Available,49712.2,0,12.5,0,687.1,40.610704,-73.979586
608 WEST 177 STREET,New York,10033,36250,235.0554435,127649.6,0,304,0,5718.1,40.846877,-73.936003
228 Riverdale Avenue,Brooklyn,10705,87850,13104.00097,601837.4,0,221.1,0,Not Available,,
1912 First Avenue,New york,10029,144264,45275.52565,659842.5,0,406.6,0,Not Available,40.784867,-73.94353
4601 11th Avenue,Brooklyn,11219,27510,29760.47779,243326.3,0,229.6,0,3140.7,40.639282,-73.994865
813 Williams Avenue,Brooklyn,11207,36010,973.9999249,63804.9,0,21.2,0,50.3,40.655478,-73.895508
525 West 28 Street,New York,10001,611448,259313.4787,3982399.6,0,2379.9,0,20194.5,40.751351,-74.003097
135 Vanderbilt Avenue,Staten Island,10304,109277,121637.6404,1741301.5,0,1151.2,0,9378.4,40.62046,-74.076402
510 West 52nd Street,New York,10019,245998,Insufficient access,1955035,0,1533.6,0,12471.2,40.766384,-73.991968
22 East 1st Street,New York,10003,97322,48215.36236,Insufficient access,0,768.8,0,5424.9,40.724422,-73.99115
147 Wallabout Street,Brooklyn,11206,102000,36005.20498,199193.5,0,241.4,0,5561.8,40.700007,-73.954753
11 East 1st Street,New York,10003,191542,121642.3262,2365954.3,0,1241.8,0,16102.6,40.724559,-73.991518
"500,510, 520,530,540 Osborne St;  210,220, 224, 230 & 234 Newport St;",Brooklyn,11212,157708,100263.7683,637696.7,0,693.1,0,Not Available,,
2922 Nostrand Avenue,Brooklyn,11229,56371,37878.99919,226873.5,0,258.3,0,5079.3,40.613171,-73.944274
341 East 19th Street,Brooklyn,11226,40915,26048.9988,129313.7,0,170.9,0,2562.2,40.642004,-73.960691
154 West 27th Street,Manhattan,10001,26460,83.9536305,109813.3,0,133.7,0,Not Available,40.746056,-73.992497
100 William Street,New York,10038,349786.2,Not Available,8216373.1,0,3331.1,0,4428.1,40.708497,-74.007477
"164, 165, 169 Lott Ave, 173,179,210 216 Thatford Ave,",Brooklyn,11212,101127,42795.39348,600971.5,0,378.6,0,Not Available,,
156 Beekman Street,New York,10038,27698,2995.933769,108585.7,0,43.3,0,56.1,,
55 John St.,New York City,10038,109072,974.2656942,1189072.2,0,618.1,0,18675.9,40.708988,-74.007654
261 West 35th St,New York,10001,105000,Not Available,603049.2,0,404.2,0,901.3,40.752358,-73.991774
9902 Third Avenue,Brooklyn,11209,121465,93845.00572,461782.1,0,614.7,0,3714.1,40.61417,-74.035035
130-152 72nd Street,Brooklyn,11209,141176,109192.0013,512943.8,0,709.1,0,7167.8,40.634688,-74.031918
320 East 23rd Street,Manhattan,10010,153800,2826.088218,1450146.9,0,903.1,0,9277.4,40.737571,-73.980179
65 Oriental Boulevard,Brooklyn,11235,155662,125923.0057,637628.2,0,860.4,0,7693.7,40.576831,-73.953411
435 West 57th Street,Manhattan,10019,223856,80015.76629,1052667.5,0,690,0,8041.5,40.768395,-73.986827
139 East 35th Street,Manhattan,10016,127533,69100.60892,547724.5,0,504.9,0,Not Available,40.746974,-73.978992
345 Webster Avenue,Brooklyn,11230,158230,4067.999742,461989.1,0,912.3,0,Not Available,40.633862,-73.968691
153-15 Cross Island Parkway,Queens,11357,58458,75799.52121,2943882.9,0,1143.8,0,3285.3,40.786942,-73.808381
6402 23 Avenue,Brooklyn,11204,25710,26763.99901,79393.5,0,162.1,0,1612.4,40.613007,-73.978685
235 Canal Street,Manhattan,10013,43942,7709.915962,682021.7,0,212.7,0,460.8,40.717912,-73.999794
64 Bowery,Manhattan,10013,17350,4432.146007,1313313.8,0,354.2,0,605.9,40.716355,-73.995996
31 West 52nd St.,New York,10019,765456.5,44296.87628,8632318.2,0,2871.1,0,8443.5,40.760492,-73.977937
140-26 Cherry Avenue,Queens,11355,39610,20155.54458,149314.7,0,144.6,0,1955.4,40.754124,-73.822415
